id,timestamp,full_sq,life_sq,kitch_sq,num_room,floor,max_floor,state,material,build_year,full_all,sub_area,salary,fixed_basket,rent_price_1room_eco,rent_price_2room_eco,rent_price_3room_eco,average_life_exp,price_doc
13352,2013-12-23,31.0,20.0,5.0,1.0,5.0,5.0,2.0,1.0,1963.0,36154,Perovo,55485.2,15417.34,33.97,42.0,48.5,76.37,4800000
13338,2013-12-23,41.0,40.0,1.0,1.0,14.0,25.0,,4.0,,7341,Poselenie Moskovskij,55485.2,15417.34,33.97,42.0,48.5,76.37,3921239
13347,2013-12-23,51.0,50.0,1.0,2.0,5.0,5.0,,1.0,,39873,Poselenie Shherbinka,55485.2,15417.34,33.97,42.0,48.5,76.37,4445576
13345,2013-12-23,80.0,80.0,1.0,2.0,1.0,1.0,1.0,1.0,2013.0,156377,Strogino,55485.2,15417.34,33.97,42.0,48.5,76.37,13152320
13346,2013-12-23,34.0,19.0,9.0,1.0,6.0,8.0,2.0,5.0,1979.0,48439,Zjablikovo,55485.2,15417.34,33.97,42.0,48.5,76.37,2000000
13319,2013-12-23,48.0,31.0,7.0,2.0,5.0,8.0,3.0,2.0,1960.0,75377,Hamovniki,55485.2,15417.34,33.97,42.0,48.5,76.37,13700000
13328,2013-12-23,66.0,44.0,9.0,3.0,7.0,12.0,2.0,5.0,1967.0,118945,Vostochnoe Izmajlovo,55485.2,15417.34,33.97,42.0,48.5,76.37,10800000
13332,2013-12-23,79.0,78.0,1.0,3.0,7.0,17.0,1.0,1.0,,17790,Poselenie Vnukovskoe,55485.2,15417.34,33.97,42.0,48.5,76.37,7644305
10064,2013-08-26,55.0,41.0,5.0,3.0,4.0,5.0,3.0,2.0,1960.0,21040,Dorogomilovo,55485.2,15241.93,33.15,42.33,48.22,76.37,11500000
10073,2013-08-26,42.0,18.0,10.0,1.0,19.0,23.0,2.0,1.0,2006.0,83369,Rjazanskij,55485.2,15241.93,33.15,42.33,48.22,76.37,2000000
10079,2013-08-26,106.0,106.0,0.0,6.0,2.0,2.0,1.0,1.0,2014.0,5740,Poselenie Pervomajskoe,55485.2,15241.93,33.15,42.33,48.22,76.37,4980000
10069,2013-08-26,50.0,23.0,11.0,1.0,8.0,14.0,2.0,1.0,2006.0,102828,Kosino-Uhtomskoe,55485.2,15241.93,33.15,42.33,48.22,76.37,6500000
10062,2013-08-26,40.0,30.0,10.0,1.0,10.0,12.0,1.0,1.0,2014.0,21819,Poselenie Desjonovskoe,55485.2,15241.93,33.15,42.33,48.22,76.37,3401974
10077,2013-08-26,67.0,32.0,12.0,2.0,1.0,16.0,1.0,4.0,2014.0,9553,Poselenie Voskresenskoe,55485.2,15241.93,33.15,42.33,48.22,76.37,6130500
10059,2013-08-26,54.0,30.0,8.0,2.0,9.0,16.0,3.0,1.0,2002.0,102618,Juzhnoe Butovo,55485.2,15241.93,33.15,42.33,48.22,76.37,6600000
10075,2013-08-26,45.0,28.0,5.0,2.0,9.0,12.0,3.0,5.0,1973.0,3521,Savelovskoe,55485.2,15241.93,33.15,42.33,48.22,76.37,7400000
10076,2013-08-26,63.0,58.0,12.0,2.0,7.0,17.0,1.0,6.0,2014.0,9553,Poselenie Voskresenskoe,55485.2,15241.93,33.15,42.33,48.22,76.37,5995440
10060,2013-08-26,31.0,21.0,5.0,1.0,3.0,9.0,3.0,1.0,1964.0,1359171,Alekseevskoe,55485.2,15241.93,33.15,42.33,48.22,76.37,2000000
10061,2013-08-26,54.0,38.0,5.0,3.0,2.0,9.0,,2.0,1965.0,57999,Presnenskoe,55485.2,15241.93,33.15,42.33,48.22,76.37,12000000
12022,2013-11-11,43.0,29.0,5.0,2.0,4.0,5.0,2.0,2.0,1960.0,157010,Ivanovskoe,55485.2,15367.58,34.55,42.02,49.29,76.37,5800000
11986,2013-11-11,76.0,45.0,10.0,3.0,10.0,16.0,2.0,1.0,1981.0,165727,Mar'ino,55485.2,15367.58,34.55,42.02,49.29,76.37,10000000
11989,2013-11-11,51.0,30.0,8.0,2.0,11.0,17.0,3.0,1.0,1987.0,94561,Novokosino,55485.2,15367.58,34.55,42.02,49.29,76.37,7800000
12004,2013-11-11,62.0,62.0,0.0,2.0,5.0,17.0,,1.0,,21819,Poselenie Desjonovskoe,55485.2,15367.58,34.55,42.02,49.29,76.37,5056214
12013,2013-11-11,32.0,14.0,9.0,1.0,11.0,12.0,2.0,5.0,1967.0,103746,Metrogorodok,55485.2,15367.58,34.55,42.02,49.29,76.37,5390000
12012,2013-11-11,36.0,22.0,7.0,2.0,7.0,9.0,,1.0,1963.0,106445,Gagarinskoe,55485.2,15367.58,34.55,42.02,49.29,76.37,7600000
12000,2013-11-11,60.0,43.0,6.0,3.0,8.0,9.0,,1.0,1975.0,61396,Otradnoe,55485.2,15367.58,34.55,42.02,49.29,76.37,3000000
11997,2013-11-11,32.0,19.0,5.0,1.0,8.0,9.0,2.0,2.0,1965.0,47245,Meshhanskoe,55485.2,15367.58,34.55,42.02,49.29,76.37,1000000
12003,2013-11-11,48.0,31.0,8.0,2.0,5.0,12.0,,1.0,1970.0,94564,Golovinskoe,55485.2,15367.58,34.55,42.02,49.29,76.37,7480000
11995,2013-11-11,36.0,18.0,8.0,1.0,14.0,14.0,2.0,2.0,1969.0,37807,Savelki,55485.2,15367.58,34.55,42.02,49.29,76.37,2000000
12006,2013-11-11,53.0,30.0,8.0,2.0,4.0,4.0,1.0,1.0,2014.0,2942,Poselenie Filimonkovskoe,55485.2,15367.58,34.55,42.02,49.29,76.37,3242837
12014,2013-11-11,82.0,37.0,11.0,2.0,11.0,20.0,1.0,6.0,2014.0,17790,Poselenie Vnukovskoe,55485.2,15367.58,34.55,42.02,49.29,76.37,8917028
11992,2013-11-11,80.0,80.0,0.0,3.0,3.0,3.0,1.0,1.0,2013.0,53786,Severnoe Tushino,55485.2,15367.58,34.55,42.02,49.29,76.37,14426880
11988,2013-11-11,38.0,20.0,8.0,1.0,2.0,14.0,3.0,1.0,1985.0,85721,Brateevo,55485.2,15367.58,34.55,42.02,49.29,76.37,5400000
12024,2013-11-11,39.0,20.0,10.0,1.0,17.0,22.0,3.0,1.0,2001.0,94564,Golovinskoe,55485.2,15367.58,34.55,42.02,49.29,76.37,6380000
12008,2013-11-11,32.0,20.0,5.0,1.0,4.0,5.0,2.0,1.0,1964.0,31167,Kuz'minki,55485.2,15367.58,34.55,42.02,49.29,76.37,5100000
11991,2013-11-11,36.0,20.0,9.0,1.0,8.0,12.0,3.0,1.0,1965.0,26943,Mar'ina Roshha,55485.2,15367.58,34.55,42.02,49.29,76.37,7850000
12027,2013-11-11,81.0,43.0,10.0,3.0,13.0,17.0,2.0,1.0,2007.0,78507,Kuncevo,55485.2,15367.58,34.55,42.02,49.29,76.37,15850000
12015,2013-11-11,44.0,30.0,5.0,2.0,4.0,5.0,3.0,5.0,1963.0,76670,Zjuzino,55485.2,15367.58,34.55,42.02,49.29,76.37,6450000
12021,2013-11-11,37.0,18.0,9.0,1.0,7.0,16.0,2.0,5.0,1984.0,145088,Birjulevo Zapadnoe,55485.2,15367.58,34.55,42.02,49.29,76.37,4850000
11993,2013-11-11,44.0,28.0,0.0,2.0,6.0,12.0,,5.0,1967.0,76284,Nagatinskij Zaton,55485.2,15367.58,34.55,42.02,49.29,76.37,7800000
12001,2013-11-11,41.0,41.0,10.0,2.0,7.0,12.0,1.0,4.0,2013.0,13890,Poselenie Sosenskoe,55485.2,15367.58,34.55,42.02,49.29,76.37,4173067
11999,2013-11-11,45.0,45.0,1.0,3.0,1.0,1.0,1.0,1.0,2013.0,13890,Poselenie Sosenskoe,55485.2,15367.58,34.55,42.02,49.29,76.37,5278356
12020,2013-11-11,31.0,30.0,5.0,1.0,3.0,5.0,2.0,2.0,1962.0,78507,Kuncevo,55485.2,15367.58,34.55,42.02,49.29,76.37,5550000
11987,2013-11-11,60.0,33.0,10.0,2.0,3.0,16.0,2.0,1.0,1982.0,87713,Zapadnoe Degunino,55485.2,15367.58,34.55,42.02,49.29,76.37,2000000
12018,2013-11-11,79.0,53.0,8.0,3.0,5.0,8.0,2.0,2.0,1958.0,57107,Timirjazevskoe,55485.2,15367.58,34.55,42.02,49.29,76.37,16800000
12030,2013-11-11,35.0,17.0,10.0,1.0,21.0,22.0,2.0,1.0,1987.0,48439,Zjablikovo,55485.2,15367.58,34.55,42.02,49.29,76.37,6200000
11990,2013-11-11,46.0,29.0,5.0,2.0,7.0,9.0,3.0,1.0,1973.0,104410,Veshnjaki,55485.2,15367.58,34.55,42.02,49.29,76.37,7000000
10186,2013-08-30,62.0,35.0,10.0,2.0,15.0,22.0,,1.0,1985.0,178264,Jasenevo,55485.2,15241.93,33.15,42.33,48.22,76.37,11400000
10192,2013-08-30,37.0,37.0,1.0,1.0,1.0,1.0,1.0,1.0,2013.0,101982,Tekstil'shhiki,55485.2,15241.93,33.15,42.33,48.22,76.37,6498537
10197,2013-08-30,39.0,37.0,1.0,1.0,8.0,17.0,1.0,1.0,2013.0,247469,Nekrasovka,55485.2,15241.93,33.15,42.33,48.22,76.37,4061390
10178,2013-08-30,49.0,33.0,5.0,3.0,7.0,9.0,3.0,1.0,1976.0,12327,Gol'janovo,55485.2,15241.93,33.15,42.33,48.22,76.37,7600000
10174,2013-08-30,53.0,30.0,8.0,2.0,9.0,12.0,2.0,1.0,1983.0,61396,Otradnoe,55485.2,15241.93,33.15,42.33,48.22,76.37,1500000
10185,2013-08-30,32.0,21.0,5.0,1.0,3.0,9.0,,5.0,1965.0,31167,Kuz'minki,55485.2,15241.93,33.15,42.33,48.22,76.37,4010000
10191,2013-08-30,37.0,19.0,7.0,1.0,2.0,17.0,3.0,1.0,2008.0,27992,Juzhnoe Medvedkovo,55485.2,15241.93,33.15,42.33,48.22,76.37,1000000
10170,2013-08-30,59.0,33.0,10.0,2.0,6.0,18.0,2.0,1.0,2001.0,130229,Moskvorech'e-Saburovo,55485.2,15241.93,33.15,42.33,48.22,76.37,9050000
10194,2013-08-30,38.0,17.0,10.0,1.0,15.0,24.0,3.0,1.0,2004.0,165727,Mar'ino,55485.2,15241.93,33.15,42.33,48.22,76.37,6400000
10199,2013-08-30,42.0,20.0,8.0,1.0,4.0,12.0,2.0,1.0,1972.0,81980,Jaroslavskoe,55485.2,15241.93,33.15,42.33,48.22,76.37,5900000
10187,2013-08-30,118.0,69.0,14.0,4.0,16.0,24.0,,4.0,2009.0,61039,Ramenki,55485.2,15241.93,33.15,42.33,48.22,76.37,14021000
10175,2013-08-30,40.0,39.0,1.0,1.0,12.0,17.0,1.0,1.0,,247469,Nekrasovka,55485.2,15241.93,33.15,42.33,48.22,76.37,4462000
10183,2013-08-30,45.0,28.0,6.0,2.0,7.0,9.0,3.0,1.0,1969.0,118945,Vostochnoe Izmajlovo,55485.2,15241.93,33.15,42.33,48.22,76.37,1000000
10195,2013-08-30,35.0,20.0,5.0,1.0,3.0,9.0,2.0,1.0,1974.0,1716730,Birjulevo Vostochnoe,55485.2,15241.93,33.15,42.33,48.22,76.37,4550000
10176,2013-08-30,51.0,49.0,13.0,1.0,3.0,12.0,3.0,4.0,2005.0,80791,Horoshevskoe,55485.2,15241.93,33.15,42.33,48.22,76.37,15500000
10168,2013-08-30,48.0,31.0,9.0,2.0,7.0,12.0,2.0,5.0,1972.0,1285626,Vnukovo,55485.2,15241.93,33.15,42.33,48.22,76.37,5150000
10193,2013-08-30,44.0,28.0,7.0,2.0,7.0,9.0,,5.0,1965.0,1362363,Akademicheskoe,55485.2,15241.93,33.15,42.33,48.22,76.37,8490000
30052,2015-05-29,80.0,55.0,12.0,3.0,15.0,24.0,1.0,6.0,2017.0,76284,Nagatinskij Zaton,64310.0,18745.28,31.09,39.16,50.42,76.77,12697154
30040,2015-05-29,50.0,48.0,1.0,1.0,17.0,25.0,1.0,4.0,2016.0,67710,Krylatskoe,64310.0,18745.28,31.09,39.16,50.42,76.77,7532850
30041,2015-05-29,45.0,27.0,5.0,2.0,2.0,5.0,,1.0,1979.0,7122,Poselenie Rjazanovskoe,64310.0,18745.28,31.09,39.16,50.42,76.77,990000
30049,2015-05-29,39.0,38.0,1.0,1.0,1.0,1.0,1.0,1.0,2015.0,76284,Nagatinskij Zaton,64310.0,18745.28,31.09,39.16,50.42,76.77,6154704
30030,2015-05-29,36.0,19.0,7.0,1.0,9.0,17.0,3.0,1.0,2012.0,155572,Butyrskoe,64310.0,18745.28,31.09,39.16,50.42,76.77,5000000
30032,2015-05-29,73.0,69.0,16.0,2.0,11.0,11.0,1.0,1.0,2017.0,61039,Ramenki,64310.0,18745.28,31.09,39.16,50.42,76.77,15620970
30029,2015-05-29,47.0,28.0,6.0,2.0,2.0,12.0,2.0,1.0,1978.0,55125,Babushkinskoe,64310.0,18745.28,31.09,39.16,50.42,76.77,8500000
30042,2015-05-29,68.0,35.0,14.0,2.0,1.0,1.0,1.0,1.0,2017.0,7341,Poselenie Moskovskij,64310.0,18745.28,31.09,39.16,50.42,76.77,8420775
30038,2015-05-29,64.0,64.0,10.0,2.0,13.0,17.0,1.0,4.0,2016.0,21155,Mitino,64310.0,18745.28,31.09,39.16,50.42,76.77,9782774
30053,2015-05-29,96.0,52.0,17.0,4.0,4.0,5.0,2.0,2.0,1917.0,91100,Donskoe,64310.0,18745.28,31.09,39.16,50.42,76.77,13200000
30037,2015-05-29,40.0,16.0,11.0,1.0,14.0,22.0,3.0,6.0,2010.0,96959,Levoberezhnoe,64310.0,18745.28,31.09,39.16,50.42,76.77,2000000
30047,2015-05-29,61.0,61.0,10.0,2.0,2.0,25.0,1.0,4.0,2016.0,116742,Tverskoe,64310.0,18745.28,31.09,39.16,50.42,76.77,12505200
30044,2015-05-29,61.0,40.0,10.0,2.0,15.0,24.0,1.0,6.0,2017.0,76284,Nagatinskij Zaton,64310.0,18745.28,31.09,39.16,50.42,76.77,9680262
30050,2015-05-29,65.0,35.0,7.0,2.0,5.0,7.0,2.0,2.0,1950.0,101708,Juzhnoportovoe,64310.0,18745.28,31.09,39.16,50.42,76.77,10500000
30039,2015-05-29,48.0,30.0,7.0,2.0,9.0,9.0,1.0,5.0,1973.0,76284,Nagatinskij Zaton,64310.0,18745.28,31.09,39.16,50.42,76.77,9000000
30031,2015-05-29,51.0,50.0,1.0,2.0,11.0,17.0,1.0,1.0,2014.0,21819,Poselenie Desjonovskoe,64310.0,18745.28,31.09,39.16,50.42,76.77,5130400
30051,2015-05-29,68.0,44.0,9.0,3.0,9.0,14.0,2.0,1.0,1971.0,123280,Taganskoe,64310.0,18745.28,31.09,39.16,50.42,76.77,17400000
30028,2015-05-29,108.0,107.0,1.0,3.0,8.0,16.0,1.0,1.0,2015.0,1359171,Alekseevskoe,64310.0,18745.28,31.09,39.16,50.42,76.77,34645000
30046,2015-05-29,37.0,19.0,9.0,1.0,10.0,16.0,2.0,5.0,1989.0,87713,Zapadnoe Degunino,64310.0,18745.28,31.09,39.16,50.42,76.77,6250000
23912,2014-10-24,32.0,18.0,6.0,1.0,1.0,9.0,3.0,1.0,1970.0,145576,Caricyno,61208.0,16269.79,35.37,43.85,52.82,76.7,5700000
23932,2014-10-24,41.0,26.0,5.0,2.0,1.0,5.0,2.0,1.0,1964.0,145576,Caricyno,61208.0,16269.79,35.37,43.85,52.82,76.7,6200000
23905,2014-10-24,98.0,53.0,14.0,3.0,12.0,22.0,1.0,1.0,2008.0,1452550,Bogorodskoe,61208.0,16269.79,35.37,43.85,52.82,76.7,8200000
23922,2014-10-24,40.0,20.0,8.0,1.0,8.0,14.0,2.0,1.0,1992.0,21155,Mitino,61208.0,16269.79,35.37,43.85,52.82,76.7,7200000
23917,2014-10-24,81.0,78.0,12.0,3.0,1.0,17.0,,1.0,2015.0,21819,Poselenie Desjonovskoe,61208.0,16269.79,35.37,43.85,52.82,76.7,6962216
23915,2014-10-24,29.0,29.0,1.0,1.0,12.0,19.0,1.0,1.0,2016.0,39873,Poselenie Shherbinka,61208.0,16269.79,35.37,43.85,52.82,76.7,2858209
23916,2014-10-24,34.0,19.0,9.0,1.0,1.0,12.0,2.0,5.0,1972.0,57405,Preobrazhenskoe,61208.0,16269.79,35.37,43.85,52.82,76.7,1000000
23931,2014-10-24,64.0,45.0,6.0,3.0,2.0,12.0,3.0,1.0,1978.0,87713,Zapadnoe Degunino,61208.0,16269.79,35.37,43.85,52.82,76.7,8700000
23923,2014-10-24,27.0,26.0,1.0,1.0,6.0,16.0,1.0,1.0,2014.0,39873,Poselenie Shherbinka,61208.0,16269.79,35.37,43.85,52.82,76.7,2522836
23926,2014-10-24,32.0,21.0,5.0,1.0,3.0,9.0,2.0,5.0,1963.0,37502,Sviblovo,61208.0,16269.79,35.37,43.85,52.82,76.7,1000000
23930,2014-10-24,35.0,14.0,9.0,1.0,2.0,17.0,2.0,1.0,2002.0,102618,Juzhnoe Butovo,61208.0,16269.79,35.37,43.85,52.82,76.7,5950000
23925,2014-10-24,56.0,31.0,9.0,2.0,3.0,16.0,3.0,6.0,2002.0,72131,Novogireevo,61208.0,16269.79,35.37,43.85,52.82,76.7,11300000
23928,2014-10-24,39.0,22.0,6.0,2.0,6.0,14.0,3.0,5.0,1972.0,91100,Donskoe,61208.0,16269.79,35.37,43.85,52.82,76.7,6500000
23910,2014-10-24,95.0,73.0,9.0,4.0,14.0,22.0,3.0,1.0,1978.0,113897,Troparevo-Nikulino,61208.0,16269.79,35.37,43.85,52.82,76.7,19200000
23914,2014-10-24,44.0,30.0,5.0,2.0,1.0,5.0,2.0,5.0,1961.0,153248,Kotlovka,61208.0,16269.79,35.37,43.85,52.82,76.7,3000000
23919,2014-10-24,52.0,37.0,6.0,3.0,2.0,5.0,,1.0,1968.0,143661,Troickij okrug,61208.0,16269.79,35.37,43.85,52.82,76.7,5200000
23911,2014-10-24,57.0,37.0,9.0,2.0,8.0,8.0,3.0,2.0,1959.0,64317,Lomonosovskoe,61208.0,16269.79,35.37,43.85,52.82,76.7,14700000
23913,2014-10-24,70.0,52.0,5.0,3.0,3.0,9.0,2.0,1.0,1970.0,85083,Sokolinaja Gora,61208.0,16269.79,35.37,43.85,52.82,76.7,12400000
23924,2014-10-24,52.0,28.0,10.0,2.0,14.0,16.0,3.0,5.0,1991.0,60315,Severnoe Medvedkovo,61208.0,16269.79,35.37,43.85,52.82,76.7,9300000
21173,2014-07-30,37.0,19.0,7.0,1.0,7.0,17.0,3.0,1.0,1986.0,123000,Kon'kovo,61208.0,16251.41,33.67,41.97,50.93,76.7,7850000
21169,2014-07-30,34.0,21.0,5.0,1.0,1.0,4.0,2.0,2.0,1972.0,76308,Vostochnoe,61208.0,16251.41,33.67,41.97,50.93,76.7,4900000
21179,2014-07-30,71.0,40.0,13.0,2.0,5.0,12.0,3.0,6.0,2011.0,13890,Poselenie Sosenskoe,61208.0,16251.41,33.67,41.97,50.93,76.7,4911450
21177,2014-07-30,44.0,26.0,5.0,2.0,2.0,5.0,3.0,2.0,1959.0,112804,Filevskij Park,61208.0,16251.41,33.67,41.97,50.93,76.7,7000000
21188,2014-07-30,54.0,35.0,8.0,2.0,3.0,9.0,2.0,2.0,1957.0,64317,Lomonosovskoe,61208.0,16251.41,33.67,41.97,50.93,76.7,13500000
21174,2014-07-30,45.0,28.0,5.0,2.0,3.0,5.0,3.0,1.0,1965.0,125111,Solncevo,61208.0,16251.41,33.67,41.97,50.93,76.7,2000000
21187,2014-07-30,94.0,56.0,11.0,4.0,3.0,14.0,2.0,1.0,1995.0,221709,Krjukovo,61208.0,16251.41,33.67,41.97,50.93,76.7,7500000
21183,2014-07-30,80.0,54.0,8.0,3.0,2.0,5.0,3.0,2.0,1953.0,1100773,Ajeroport,61208.0,16251.41,33.67,41.97,50.93,76.7,14600000
21186,2014-07-30,47.0,30.0,6.0,2.0,7.0,9.0,2.0,1.0,1972.0,72131,Novogireevo,61208.0,16251.41,33.67,41.97,50.93,76.7,7900000
21175,2014-07-30,31.0,18.0,5.0,1.0,3.0,5.0,2.0,2.0,1959.0,73148,Vojkovskoe,61208.0,16251.41,33.67,41.97,50.93,76.7,6500000
21181,2014-07-30,32.0,17.0,7.0,1.0,8.0,9.0,3.0,1.0,1969.0,123000,Kon'kovo,61208.0,16251.41,33.67,41.97,50.93,76.7,6450000
21165,2014-07-30,79.0,44.0,12.0,3.0,2.0,17.0,2.0,1.0,2008.0,7341,Poselenie Moskovskij,61208.0,16251.41,33.67,41.97,50.93,76.7,8700000
21190,2014-07-30,45.0,29.0,6.0,2.0,4.0,9.0,2.0,1.0,1971.0,112221,Chertanovo Juzhnoe,61208.0,16251.41,33.67,41.97,50.93,76.7,6900000
21184,2014-07-30,45.0,28.0,5.0,2.0,3.0,5.0,2.0,1.0,1964.0,12327,Gol'janovo,61208.0,16251.41,33.67,41.97,50.93,76.7,6250000
21180,2014-07-30,38.0,19.0,7.0,1.0,16.0,17.0,2.0,1.0,2000.0,111023,Ochakovo-Matveevskoe,61208.0,16251.41,33.67,41.97,50.93,76.7,7400000
21193,2014-07-30,32.0,21.0,6.0,1.0,6.0,9.0,,1.0,1967.0,1285626,Vnukovo,61208.0,16251.41,33.67,41.97,50.93,76.7,4700000
21182,2014-07-30,53.0,31.0,10.0,2.0,10.0,16.0,2.0,1.0,1982.0,85083,Sokolinaja Gora,61208.0,16251.41,33.67,41.97,50.93,76.7,8130000
21176,2014-07-30,44.0,28.0,5.0,1.0,5.0,5.0,2.0,1.0,1969.0,105663,Juzhnoe Tushino,61208.0,16251.41,33.67,41.97,50.93,76.7,7290000
21167,2014-07-30,52.0,30.0,8.0,2.0,16.0,16.0,2.0,1.0,1982.0,100846,Dmitrovskoe,61208.0,16251.41,33.67,41.97,50.93,76.7,8300000
21171,2014-07-30,39.0,23.0,6.0,2.0,12.0,12.0,3.0,1.0,1969.0,101982,Tekstil'shhiki,61208.0,16251.41,33.67,41.97,50.93,76.7,6120000
21191,2014-07-30,41.0,22.0,6.0,2.0,1.0,14.0,2.0,5.0,1978.0,157010,Ivanovskoe,61208.0,16251.41,33.67,41.97,50.93,76.7,1000000
21189,2014-07-30,58.0,30.0,11.0,2.0,6.0,12.0,3.0,2.0,2004.0,102828,Kosino-Uhtomskoe,61208.0,16251.41,33.67,41.97,50.93,76.7,7750000
21192,2014-07-30,38.0,20.0,10.0,1.0,18.0,22.0,2.0,1.0,2008.0,142462,Mozhajskoe,61208.0,16251.41,33.67,41.97,50.93,76.7,1000000
21195,2014-07-30,47.0,30.0,6.0,2.0,8.0,12.0,2.0,1.0,1973.0,145088,Birjulevo Zapadnoe,61208.0,16251.41,33.67,41.97,50.93,76.7,6000000
21168,2014-07-30,57.0,31.0,5.0,2.0,5.0,5.0,2.0,2.0,1934.0,1359171,Alekseevskoe,61208.0,16251.41,33.67,41.97,50.93,76.7,12500000
21170,2014-07-30,50.0,30.0,8.0,2.0,6.0,17.0,3.0,4.0,1985.0,61039,Ramenki,61208.0,16251.41,33.67,41.97,50.93,76.7,11400000
24816,2014-11-17,51.0,40.0,5.0,3.0,6.0,9.0,4.0,1.0,1969.0,157010,Ivanovskoe,61208.0,16648.7,34.3,43.23,53.21,76.7,9500000
24833,2014-11-17,117.0,66.0,12.0,3.0,8.0,23.0,1.0,4.0,2010.0,21155,Mitino,61208.0,16648.7,34.3,43.23,53.21,76.7,6400000
24826,2014-11-17,30.0,17.0,5.0,1.0,2.0,5.0,3.0,1.0,1966.0,72131,Novogireevo,61208.0,16648.7,34.3,43.23,53.21,76.7,5450000
24808,2014-11-17,44.0,27.0,5.0,2.0,9.0,9.0,3.0,1.0,1971.0,81980,Jaroslavskoe,61208.0,16648.7,34.3,43.23,53.21,76.7,7200000
24819,2014-11-17,57.0,31.0,10.0,2.0,9.0,14.0,2.0,1.0,1993.0,21155,Mitino,61208.0,16648.7,34.3,43.23,53.21,76.7,9500000
