timestamp,salary,fixed_basket,rent_price_3room_eco,rent_price_2room_eco,rent_price_1room_eco,average_life_exp
2011-11-17,44898.7,12959.49,46.5,38.62,31.53,75.79
2011-11-18,44898.7,12959.49,46.5,38.62,31.53,75.79
2011-11-19,44898.7,12959.49,46.5,38.62,31.53,75.79
2011-11-22,44898.7,12959.49,46.5,38.62,31.53,75.79
2011-11-24,44898.7,12959.49,46.5,38.62,31.53,75.79
2011-11-25,44898.7,12959.49,46.5,38.62,31.53,75.79
2011-11-26,44898.7,12959.49,46.5,38.62,31.53,75.79
2011-11-28,44898.7,12959.49,46.5,38.62,31.53,75.79
2011-11-29,44898.7,12959.49,46.5,38.62,31.53,75.79
2011-11-30,44898.7,12959.49,46.5,38.62,31.53,75.79
2011-12-01,44898.7,12992.44,46.44,37.93,30.74,75.79
2011-12-03,44898.7,12992.44,46.44,37.93,30.74,75.79
2011-12-05,44898.7,12992.44,46.44,37.93,30.74,75.79
2011-12-06,44898.7,12992.44,46.44,37.93,30.74,75.79
2011-12-07,44898.7,12992.44,46.44,37.93,30.74,75.79
2011-12-08,44898.7,12992.44,46.44,37.93,30.74,75.79
2011-12-09,44898.7,12992.44,46.44,37.93,30.74,75.79
2011-12-10,44898.7,12992.44,46.44,37.93,30.74,75.79
2011-12-13,44898.7,12992.44,46.44,37.93,30.74,75.79
2011-12-15,44898.7,12992.44,46.44,37.93,30.74,75.79
2011-12-16,44898.7,12992.44,46.44,37.93,30.74,75.79
2011-12-17,44898.7,12992.44,46.44,37.93,30.74,75.79
2011-12-19,44898.7,12992.44,46.44,37.93,30.74,75.79
2011-12-20,44898.7,12992.44,46.44,37.93,30.74,75.79
2011-12-21,44898.7,12992.44,46.44,37.93,30.74,75.79
2011-12-22,44898.7,12992.44,46.44,37.93,30.74,75.79
2011-12-23,44898.7,12992.44,46.44,37.93,30.74,75.79
2011-12-26,44898.7,12992.44,46.44,37.93,30.74,75.79
2011-12-27,44898.7,12992.44,46.44,37.93,30.74,75.79
2011-12-28,44898.7,12992.44,46.44,37.93,30.74,75.79
2011-12-29,44898.7,12992.44,46.44,37.93,30.74,75.79
2011-12-30,44898.7,12992.44,46.44,37.93,30.74,75.79
2012-01-11,48830.4,13128.84,47.71,39.47,31.25,75.74
2012-01-12,48830.4,13128.84,47.71,39.47,31.25,75.74
2012-01-13,48830.4,13128.84,47.71,39.47,31.25,75.74
2012-01-16,48830.4,13128.84,47.71,39.47,31.25,75.74
2012-01-17,48830.4,13128.84,47.71,39.47,31.25,75.74
2012-01-18,48830.4,13128.84,47.71,39.47,31.25,75.74
2012-01-19,48830.4,13128.84,47.71,39.47,31.25,75.74
2012-01-20,48830.4,13128.84,47.71,39.47,31.25,75.74
2012-01-21,48830.4,13128.84,47.71,39.47,31.25,75.74
2012-01-23,48830.4,13128.84,47.71,39.47,31.25,75.74
2012-01-24,48830.4,13128.84,47.71,39.47,31.25,75.74
2012-01-25,48830.4,13128.84,47.71,39.47,31.25,75.74
2012-01-26,48830.4,13128.84,47.71,39.47,31.25,75.74
2012-01-28,48830.4,13128.84,47.71,39.47,31.25,75.74
2012-01-30,48830.4,13128.84,47.71,39.47,31.25,75.74
2012-01-31,48830.4,13128.84,47.71,39.47,31.25,75.74
2012-02-01,48830.4,13166.88,45.53,38.39,31.12,75.74
2012-02-02,48830.4,13166.88,45.53,38.39,31.12,75.74
2012-02-03,48830.4,13166.88,45.53,38.39,31.12,75.74
2012-02-04,48830.4,13166.88,45.53,38.39,31.12,75.74
2012-02-06,48830.4,13166.88,45.53,38.39,31.12,75.74
2012-02-08,48830.4,13166.88,45.53,38.39,31.12,75.74
2012-02-09,48830.4,13166.88,45.53,38.39,31.12,75.74
2012-02-10,48830.4,13166.88,45.53,38.39,31.12,75.74
2012-02-11,48830.4,13166.88,45.53,38.39,31.12,75.74
2012-02-13,48830.4,13166.88,45.53,38.39,31.12,75.74
2012-02-14,48830.4,13166.88,45.53,38.39,31.12,75.74
2012-02-15,48830.4,13166.88,45.53,38.39,31.12,75.74
2012-02-16,48830.4,13166.88,45.53,38.39,31.12,75.74
2012-02-17,48830.4,13166.88,45.53,38.39,31.12,75.74
2012-02-20,48830.4,13166.88,45.53,38.39,31.12,75.74
2012-02-21,48830.4,13166.88,45.53,38.39,31.12,75.74
2012-02-22,48830.4,13166.88,45.53,38.39,31.12,75.74
2012-02-24,48830.4,13166.88,45.53,38.39,31.12,75.74
2012-02-25,48830.4,13166.88,45.53,38.39,31.12,75.74
2012-02-27,48830.4,13166.88,45.53,38.39,31.12,75.74
2012-02-28,48830.4,13166.88,45.53,38.39,31.12,75.74
2012-02-29,48830.4,13166.88,45.53,38.39,31.12,75.74
2012-03-01,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-02,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-03,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-05,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-06,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-07,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-10,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-11,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-12,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-13,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-14,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-15,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-17,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-19,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-20,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-21,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-22,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-23,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-24,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-26,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-27,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-28,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-29,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-30,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-03-31,48830.4,13243.77,45.31,38.45,31.64,75.74
2012-04-03,48830.4,13292.33,44.25,37.85,30.89,75.74
2012-04-04,48830.4,13292.33,44.25,37.85,30.89,75.74
2012-04-05,48830.4,13292.33,44.25,37.85,30.89,75.74
2012-04-06,48830.4,13292.33,44.25,37.85,30.89,75.74
2012-04-07,48830.4,13292.33,44.25,37.85,30.89,75.74
2012-04-10,48830.4,13292.33,44.25,37.85,30.89,75.74
2012-04-13,48830.4,13292.33,44.25,37.85,30.89,75.74
2012-04-17,48830.4,13292.33,44.25,37.85,30.89,75.74
2012-04-18,48830.4,13292.33,44.25,37.85,30.89,75.74
2012-04-19,48830.4,13292.33,44.25,37.85,30.89,75.74
2012-04-20,48830.4,13292.33,44.25,37.85,30.89,75.74
2012-04-23,48830.4,13292.33,44.25,37.85,30.89,75.74
2012-04-24,48830.4,13292.33,44.25,37.85,30.89,75.74
2012-04-25,48830.4,13292.33,44.25,37.85,30.89,75.74
2012-04-26,48830.4,13292.33,44.25,37.85,30.89,75.74
2012-04-27,48830.4,13292.33,44.25,37.85,30.89,75.74
2012-04-28,48830.4,13292.33,44.25,37.85,30.89,75.74
2012-05-02,48830.4,13350.32,44.57,37.96,30.67,75.74
2012-05-03,48830.4,13350.32,44.57,37.96,30.67,75.74
2012-05-04,48830.4,13350.32,44.57,37.96,30.67,75.74
2012-05-05,48830.4,13350.32,44.57,37.96,30.67,75.74
2012-05-07,48830.4,13350.32,44.57,37.96,30.67,75.74
2012-05-10,48830.4,13350.32,44.57,37.96,30.67,75.74
2012-05-11,48830.4,13350.32,44.57,37.96,30.67,75.74
2012-05-14,48830.4,13350.32,44.57,37.96,30.67,75.74
2012-05-15,48830.4,13350.32,44.57,37.96,30.67,75.74
2012-05-16,48830.4,13350.32,44.57,37.96,30.67,75.74
2012-05-17,48830.4,13350.32,44.57,37.96,30.67,75.74
2012-05-18,48830.4,13350.32,44.57,37.96,30.67,75.74
2012-05-19,48830.4,13350.32,44.57,37.96,30.67,75.74
2012-05-21,48830.4,13350.32,44.57,37.96,30.67,75.74
2012-05-22,48830.4,13350.32,44.57,37.96,30.67,75.74
2012-05-23,48830.4,13350.32,44.57,37.96,30.67,75.74
2012-05-24,48830.4,13350.32,44.57,37.96,30.67,75.74
2012-05-25,48830.4,13350.32,44.57,37.96,30.67,75.74
2012-05-28,48830.4,13350.32,44.57,37.96,30.67,75.74
2012-05-29,48830.4,13350.32,44.57,37.96,30.67,75.74
2012-05-30,48830.4,13350.32,44.57,37.96,30.67,75.74
2012-05-31,48830.4,13350.32,44.57,37.96,30.67,75.74
2012-06-01,48830.4,13494.23,46.29,39.0,30.48,75.74
2012-06-04,48830.4,13494.23,46.29,39.0,30.48,75.74
2012-06-05,48830.4,13494.23,46.29,39.0,30.48,75.74
2012-06-06,48830.4,13494.23,46.29,39.0,30.48,75.74
2012-06-07,48830.4,13494.23,46.29,39.0,30.48,75.74
2012-06-08,48830.4,13494.23,46.29,39.0,30.48,75.74
2012-06-09,48830.4,13494.23,46.29,39.0,30.48,75.74
2012-06-11,48830.4,13494.23,46.29,39.0,30.48,75.74
2012-06-13,48830.4,13494.23,46.29,39.0,30.48,75.74
2012-06-14,48830.4,13494.23,46.29,39.0,30.48,75.74
2012-06-15,48830.4,13494.23,46.29,39.0,30.48,75.74
2012-06-20,48830.4,13494.23,46.29,39.0,30.48,75.74
2012-06-21,48830.4,13494.23,46.29,39.0,30.48,75.74
2012-06-22,48830.4,13494.23,46.29,39.0,30.48,75.74
2012-06-23,48830.4,13494.23,46.29,39.0,30.48,75.74
2012-06-25,48830.4,13494.23,46.29,39.0,30.48,75.74
2012-06-26,48830.4,13494.23,46.29,39.0,30.48,75.74
2012-06-27,48830.4,13494.23,46.29,39.0,30.48,75.74
2012-06-28,48830.4,13494.23,46.29,39.0,30.48,75.74
2012-06-29,48830.4,13494.23,46.29,39.0,30.48,75.74
2012-06-30,48830.4,13494.23,46.29,39.0,30.48,75.74
2012-07-02,48830.4,13762.47,43.42,38.25,31.1,75.74
2012-07-04,48830.4,13762.47,43.42,38.25,31.1,75.74
2012-07-05,48830.4,13762.47,43.42,38.25,31.1,75.74
2012-07-06,48830.4,13762.47,43.42,38.25,31.1,75.74
2012-07-07,48830.4,13762.47,43.42,38.25,31.1,75.74
2012-07-09,48830.4,13762.47,43.42,38.25,31.1,75.74
2012-07-10,48830.4,13762.47,43.42,38.25,31.1,75.74
2012-07-11,48830.4,13762.47,43.42,38.25,31.1,75.74
2012-07-12,48830.4,13762.47,43.42,38.25,31.1,75.74
2012-07-14,48830.4,13762.47,43.42,38.25,31.1,75.74
2012-07-16,48830.4,13762.47,43.42,38.25,31.1,75.74
2012-07-17,48830.4,13762.47,43.42,38.25,31.1,75.74
2012-07-18,48830.4,13762.47,43.42,38.25,31.1,75.74
2012-07-19,48830.4,13762.47,43.42,38.25,31.1,75.74
2012-07-20,48830.4,13762.47,43.42,38.25,31.1,75.74
2012-07-21,48830.4,13762.47,43.42,38.25,31.1,75.74
2012-07-23,48830.4,13762.47,43.42,38.25,31.1,75.74
2012-07-24,48830.4,13762.47,43.42,38.25,31.1,75.74
2012-07-25,48830.4,13762.47,43.42,38.25,31.1,75.74
2012-07-26,48830.4,13762.47,43.42,38.25,31.1,75.74
2012-07-27,48830.4,13762.47,43.42,38.25,31.1,75.74
2012-07-30,48830.4,13762.47,43.42,38.25,31.1,75.74
2012-07-31,48830.4,13762.47,43.42,38.25,31.1,75.74
2012-08-02,48830.4,13660.59,46.64,40.22,32.11,75.74
2012-08-03,48830.4,13660.59,46.64,40.22,32.11,75.74
2012-08-07,48830.4,13660.59,46.64,40.22,32.11,75.74
2012-08-08,48830.4,13660.59,46.64,40.22,32.11,75.74
2012-08-09,48830.4,13660.59,46.64,40.22,32.11,75.74
2012-08-10,48830.4,13660.59,46.64,40.22,32.11,75.74
2012-08-14,48830.4,13660.59,46.64,40.22,32.11,75.74
2012-08-15,48830.4,13660.59,46.64,40.22,32.11,75.74
2012-08-16,48830.4,13660.59,46.64,40.22,32.11,75.74
2012-08-18,48830.4,13660.59,46.64,40.22,32.11,75.74
2012-08-20,48830.4,13660.59,46.64,40.22,32.11,75.74
2012-08-22,48830.4,13660.59,46.64,40.22,32.11,75.74
2012-08-23,48830.4,13660.59,46.64,40.22,32.11,75.74
2012-08-24,48830.4,13660.59,46.64,40.22,32.11,75.74
2012-08-25,48830.4,13660.59,46.64,40.22,32.11,75.74
2012-08-27,48830.4,13660.59,46.64,40.22,32.11,75.74
2012-08-28,48830.4,13660.59,46.64,40.22,32.11,75.74
2012-08-29,48830.4,13660.59,46.64,40.22,32.11,75.74
2012-08-30,48830.4,13660.59,46.64,40.22,32.11,75.74
2012-08-31,48830.4,13660.59,46.64,40.22,32.11,75.74
2012-09-03,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-09-04,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-09-05,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-09-06,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-09-07,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-09-08,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-09-10,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-09-11,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-09-12,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-09-13,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-09-14,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-09-15,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-09-17,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-09-18,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-09-19,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-09-20,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-09-21,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-09-22,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-09-24,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-09-25,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-09-26,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-09-27,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-09-28,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-09-29,48830.4,13726.03,47.3,40.66,32.9,75.74
2012-10-01,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-02,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-03,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-04,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-05,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-06,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-08,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-09,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-10,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-11,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-12,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-13,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-15,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-16,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-17,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-18,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-19,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-20,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-22,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-23,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-24,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-25,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-26,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-27,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-29,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-30,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-10-31,48830.4,13807.34,47.19,41.19,32.69,75.74
2012-11-01,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-11-02,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-11-03,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-11-06,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-11-07,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-11-08,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-11-09,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-11-10,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-11-12,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-11-13,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-11-14,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-11-15,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-11-16,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-11-17,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-11-19,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-11-20,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-11-21,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-11-22,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-11-23,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-11-26,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-11-27,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-11-28,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-11-29,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-11-30,48830.4,13872.82,48.97,40.83,32.93,75.74
2012-12-01,48830.4,13948.2,46.94,41.01,33.1,75.74
2012-12-03,48830.4,13948.2,46.94,41.01,33.1,75.74
2012-12-04,48830.4,13948.2,46.94,41.01,33.1,75.74
2012-12-05,48830.4,13948.2,46.94,41.01,33.1,75.74
2012-12-06,48830.4,13948.2,46.94,41.01,33.1,75.74
2012-12-10,48830.4,13948.2,46.94,41.01,33.1,75.74
2012-12-11,48830.4,13948.2,46.94,41.01,33.1,75.74
2012-12-12,48830.4,13948.2,46.94,41.01,33.1,75.74
2012-12-13,48830.4,13948.2,46.94,41.01,33.1,75.74
2012-12-14,48830.4,13948.2,46.94,41.01,33.1,75.74
2012-12-15,48830.4,13948.2,46.94,41.01,33.1,75.74
2012-12-17,48830.4,13948.2,46.94,41.01,33.1,75.74
2012-12-18,48830.4,13948.2,46.94,41.01,33.1,75.74
2012-12-19,48830.4,13948.2,46.94,41.01,33.1,75.74
2012-12-20,48830.4,13948.2,46.94,41.01,33.1,75.74
2012-12-21,48830.4,13948.2,46.94,41.01,33.1,75.74
2012-12-22,48830.4,13948.2,46.94,41.01,33.1,75.74
2012-12-24,48830.4,13948.2,46.94,41.01,33.1,75.74
2012-12-25,48830.4,13948.2,46.94,41.01,33.1,75.74
2012-12-26,48830.4,13948.2,46.94,41.01,33.1,75.74
2012-12-27,48830.4,13948.2,46.94,41.01,33.1,75.74
2012-12-28,48830.4,13948.2,46.94,41.01,33.1,75.74
2012-12-29,48830.4,13948.2,46.94,41.01,33.1,75.74
2012-12-30,48830.4,13948.2,46.94,41.01,33.1,75.74
2013-01-09,55485.2,14289.4,45.2,40.25,32.84,76.37
2013-01-10,55485.2,14289.4,45.2,40.25,32.84,76.37
2013-01-11,55485.2,14289.4,45.2,40.25,32.84,76.37
2013-01-12,55485.2,14289.4,45.2,40.25,32.84,76.37
2013-01-14,55485.2,14289.4,45.2,40.25,32.84,76.37
2013-01-16,55485.2,14289.4,45.2,40.25,32.84,76.37
2013-01-17,55485.2,14289.4,45.2,40.25,32.84,76.37
2013-01-18,55485.2,14289.4,45.2,40.25,32.84,76.37
2013-01-21,55485.2,14289.4,45.2,40.25,32.84,76.37
2013-01-23,55485.2,14289.4,45.2,40.25,32.84,76.37
2013-01-24,55485.2,14289.4,45.2,40.25,32.84,76.37
2013-01-25,55485.2,14289.4,45.2,40.25,32.84,76.37
2013-01-28,55485.2,14289.4,45.2,40.25,32.84,76.37
2013-01-29,55485.2,14289.4,45.2,40.25,32.84,76.37
2013-01-30,55485.2,14289.4,45.2,40.25,32.84,76.37
2013-01-31,55485.2,14289.4,45.2,40.25,32.84,76.37
2013-02-01,55485.2,14377.54,47.9,0.1,32.62,76.37
2013-02-04,55485.2,14377.54,47.9,0.1,32.62,76.37
2013-02-05,55485.2,14377.54,47.9,0.1,32.62,76.37
2013-02-06,55485.2,14377.54,47.9,0.1,32.62,76.37
2013-02-07,55485.2,14377.54,47.9,0.1,32.62,76.37
2013-02-08,55485.2,14377.54,47.9,0.1,32.62,76.37
2013-02-09,55485.2,14377.54,47.9,0.1,32.62,76.37
2013-02-11,55485.2,14377.54,47.9,0.1,32.62,76.37
2013-02-12,55485.2,14377.54,47.9,0.1,32.62,76.37
2013-02-13,55485.2,14377.54,47.9,0.1,32.62,76.37
2013-02-14,55485.2,14377.54,47.9,0.1,32.62,76.37
2013-02-15,55485.2,14377.54,47.9,0.1,32.62,76.37
2013-02-16,55485.2,14377.54,47.9,0.1,32.62,76.37
2013-02-18,55485.2,14377.54,47.9,0.1,32.62,76.37
2013-02-19,55485.2,14377.54,47.9,0.1,32.62,76.37
2013-02-20,55485.2,14377.54,47.9,0.1,32.62,76.37
2013-02-21,55485.2,14377.54,47.9,0.1,32.62,76.37
2013-02-22,55485.2,14377.54,47.9,0.1,32.62,76.37
2013-02-25,55485.2,14377.54,47.9,0.1,32.62,76.37
2013-02-26,55485.2,14377.54,47.9,0.1,32.62,76.37
2013-03-01,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-02,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-04,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-05,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-06,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-07,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-09,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-11,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-12,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-13,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-14,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-15,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-16,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-18,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-19,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-20,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-21,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-22,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-23,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-25,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-26,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-27,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-28,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-29,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-03-30,55485.2,14581.91,47.56,41.96,33.07,76.37
2013-04-01,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-02,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-03,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-04,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-05,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-06,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-08,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-09,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-10,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-11,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-12,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-13,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-15,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-16,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-17,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-18,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-19,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-20,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-22,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-23,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-24,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-25,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-26,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-27,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-29,55485.2,14739.33,47.09,41.3,32.61,76.37
2013-04-30,55485.2,14739.33,47.09,41.3,32.61,76.37
