id,full_sq,life_sq,kitch_sq,num_room,floor,max_floor,state,material,build_year,full_all,sub_area,salary,fixed_basket,rent_price_1room_eco,rent_price_2room_eco,rent_price_3room_eco,average_life_exp,price_doc
12020,31.0,30.0,5.0,1.0,3.0,5.0,2.0,2.0,1962.0,78507,Kuncevo,55485.2,15367.58,34.55,42.02,49.29,76.37,5550000
11987,60.0,33.0,10.0,2.0,3.0,16.0,2.0,1.0,1982.0,87713,Zapadnoe Degunino,55485.2,15367.58,34.55,42.02,49.29,76.37,2000000
12018,79.0,53.0,8.0,3.0,5.0,8.0,2.0,2.0,1958.0,57107,Timirjazevskoe,55485.2,15367.58,34.55,42.02,49.29,76.37,16800000
12030,35.0,17.0,10.0,1.0,21.0,22.0,2.0,1.0,1987.0,48439,Zjablikovo,55485.2,15367.58,34.55,42.02,49.29,76.37,6200000
11990,46.0,29.0,5.0,2.0,7.0,9.0,3.0,1.0,1973.0,104410,Veshnjaki,55485.2,15367.58,34.55,42.02,49.29,76.37,7000000
10186,62.0,35.0,10.0,2.0,15.0,22.0,3.0,1.0,1985.0,178264,Jasenevo,55485.2,15241.93,33.15,42.33,48.22,76.37,11400000
10192,37.0,37.0,1.0,1.0,1.0,1.0,1.0,1.0,2013.0,101982,Tekstil'shhiki,55485.2,15241.93,33.15,42.33,48.22,76.37,6498537
10197,39.0,37.0,1.0,1.0,8.0,17.0,1.0,1.0,2013.0,247469,Nekrasovka,55485.2,15241.93,33.15,42.33,48.22,76.37,4061390
10178,49.0,33.0,5.0,3.0,7.0,9.0,3.0,1.0,1976.0,12327,Gol'janovo,55485.2,15241.93,33.15,42.33,48.22,76.37,7600000
10174,53.0,30.0,8.0,2.0,9.0,12.0,2.0,1.0,1983.0,61396,Otradnoe,55485.2,15241.93,33.15,42.33,48.22,76.37,1500000
10185,32.0,21.0,5.0,1.0,3.0,9.0,2.0,5.0,1965.0,31167,Kuz'minki,55485.2,15241.93,33.15,42.33,48.22,76.37,4010000
10191,37.0,19.0,7.0,1.0,2.0,17.0,3.0,1.0,2008.0,27992,Juzhnoe Medvedkovo,55485.2,15241.93,33.15,42.33,48.22,76.37,1000000
10170,59.0,33.0,10.0,2.0,6.0,18.0,2.0,1.0,2001.0,130229,Moskvorech'e-Saburovo,55485.2,15241.93,33.15,42.33,48.22,76.37,9050000
10194,38.0,17.0,10.0,1.0,15.0,24.0,3.0,1.0,2004.0,165727,Mar'ino,55485.2,15241.93,33.15,42.33,48.22,76.37,6400000
10199,42.0,20.0,8.0,1.0,4.0,12.0,2.0,1.0,1972.0,81980,Jaroslavskoe,55485.2,15241.93,33.15,42.33,48.22,76.37,5900000
10187,118.0,69.0,14.0,4.0,16.0,24.0,2.0,4.0,2009.0,61039,Ramenki,55485.2,15241.93,33.15,42.33,48.22,76.37,14021000
10175,40.0,39.0,1.0,1.0,12.0,17.0,1.0,1.0,2013.0,247469,Nekrasovka,55485.2,15241.93,33.15,42.33,48.22,76.37,4462000
10183,45.0,28.0,6.0,2.0,7.0,9.0,3.0,1.0,1969.0,118945,Vostochnoe Izmajlovo,55485.2,15241.93,33.15,42.33,48.22,76.37,1000000
10195,35.0,20.0,5.0,1.0,3.0,9.0,2.0,1.0,1974.0,1716730,Birjulevo Vostochnoe,55485.2,15241.93,33.15,42.33,48.22,76.37,4550000
10176,51.0,49.0,13.0,1.0,3.0,12.0,3.0,4.0,2005.0,80791,Horoshevskoe,55485.2,15241.93,33.15,42.33,48.22,76.37,15500000
10168,48.0,31.0,9.0,2.0,7.0,12.0,2.0,5.0,1972.0,1285626,Vnukovo,55485.2,15241.93,33.15,42.33,48.22,76.37,5150000
10193,44.0,28.0,7.0,2.0,7.0,9.0,2.0,5.0,1965.0,1362363,Akademicheskoe,55485.2,15241.93,33.15,42.33,48.22,76.37,8490000
30052,80.0,55.0,12.0,3.0,15.0,24.0,1.0,6.0,2017.0,76284,Nagatinskij Zaton,64310.0,18745.28,31.09,39.16,50.42,76.77,12697154
30040,50.0,48.0,1.0,1.0,17.0,25.0,1.0,4.0,2016.0,67710,Krylatskoe,64310.0,18745.28,31.09,39.16,50.42,76.77,7532850
30041,45.0,27.0,5.0,2.0,2.0,5.0,2.0,1.0,1979.0,7122,Poselenie Rjazanovskoe,64310.0,18745.28,31.09,39.16,50.42,76.77,990000
30049,39.0,38.0,1.0,1.0,1.0,1.0,1.0,1.0,2015.0,76284,Nagatinskij Zaton,64310.0,18745.28,31.09,39.16,50.42,76.77,6154704
30030,36.0,19.0,7.0,1.0,9.0,17.0,3.0,1.0,2012.0,155572,Butyrskoe,64310.0,18745.28,31.09,39.16,50.42,76.77,5000000
30032,73.0,69.0,16.0,2.0,11.0,11.0,1.0,1.0,2017.0,61039,Ramenki,64310.0,18745.28,31.09,39.16,50.42,76.77,15620970
30029,47.0,28.0,6.0,2.0,2.0,12.0,2.0,1.0,1978.0,55125,Babushkinskoe,64310.0,18745.28,31.09,39.16,50.42,76.77,8500000
30042,68.0,35.0,14.0,2.0,1.0,1.0,1.0,1.0,2017.0,7341,Poselenie Moskovskij,64310.0,18745.28,31.09,39.16,50.42,76.77,8420775
30038,64.0,64.0,10.0,2.0,13.0,17.0,1.0,4.0,2016.0,21155,Mitino,64310.0,18745.28,31.09,39.16,50.42,76.77,9782774
30053,96.0,52.0,17.0,4.0,4.0,5.0,2.0,2.0,1917.0,91100,Donskoe,64310.0,18745.28,31.09,39.16,50.42,76.77,13200000
30037,40.0,16.0,11.0,1.0,14.0,22.0,3.0,6.0,2010.0,96959,Levoberezhnoe,64310.0,18745.28,31.09,39.16,50.42,76.77,2000000
30047,61.0,61.0,10.0,2.0,2.0,25.0,1.0,4.0,2016.0,116742,Tverskoe,64310.0,18745.28,31.09,39.16,50.42,76.77,12505200
30044,61.0,40.0,10.0,2.0,15.0,24.0,1.0,6.0,2017.0,76284,Nagatinskij Zaton,64310.0,18745.28,31.09,39.16,50.42,76.77,9680262
30050,65.0,35.0,7.0,2.0,5.0,7.0,2.0,2.0,1950.0,101708,Juzhnoportovoe,64310.0,18745.28,31.09,39.16,50.42,76.77,10500000
30039,48.0,30.0,7.0,2.0,9.0,9.0,1.0,5.0,1973.0,76284,Nagatinskij Zaton,64310.0,18745.28,31.09,39.16,50.42,76.77,9000000
30031,51.0,50.0,1.0,2.0,11.0,17.0,1.0,1.0,2014.0,21819,Poselenie Desjonovskoe,64310.0,18745.28,31.09,39.16,50.42,76.77,5130400
30051,68.0,44.0,9.0,3.0,9.0,14.0,2.0,1.0,1971.0,123280,Taganskoe,64310.0,18745.28,31.09,39.16,50.42,76.77,17400000
30028,108.0,107.0,1.0,3.0,8.0,16.0,1.0,1.0,2015.0,1359171,Alekseevskoe,64310.0,18745.28,31.09,39.16,50.42,76.77,34645000
30046,37.0,19.0,9.0,1.0,10.0,16.0,2.0,5.0,1989.0,87713,Zapadnoe Degunino,64310.0,18745.28,31.09,39.16,50.42,76.77,6250000
23912,32.0,18.0,6.0,1.0,1.0,9.0,3.0,1.0,1970.0,145576,Caricyno,61208.0,16269.79,35.37,43.85,52.82,76.7,5700000
23932,41.0,26.0,5.0,2.0,1.0,5.0,2.0,1.0,1964.0,145576,Caricyno,61208.0,16269.79,35.37,43.85,52.82,76.7,6200000
23905,98.0,53.0,14.0,3.0,12.0,22.0,1.0,1.0,2008.0,1452550,Bogorodskoe,61208.0,16269.79,35.37,43.85,52.82,76.7,8200000
23922,40.0,20.0,8.0,1.0,8.0,14.0,2.0,1.0,1992.0,21155,Mitino,61208.0,16269.79,35.37,43.85,52.82,76.7,7200000
23917,81.0,78.0,12.0,3.0,1.0,17.0,1.0,1.0,2015.0,21819,Poselenie Desjonovskoe,61208.0,16269.79,35.37,43.85,52.82,76.7,6962216
23915,29.0,29.0,1.0,1.0,12.0,19.0,1.0,1.0,2016.0,39873,Poselenie Shherbinka,61208.0,16269.79,35.37,43.85,52.82,76.7,2858209
23916,34.0,19.0,9.0,1.0,1.0,12.0,2.0,5.0,1972.0,57405,Preobrazhenskoe,61208.0,16269.79,35.37,43.85,52.82,76.7,1000000
23931,64.0,45.0,6.0,3.0,2.0,12.0,3.0,1.0,1978.0,87713,Zapadnoe Degunino,61208.0,16269.79,35.37,43.85,52.82,76.7,8700000
23923,27.0,26.0,1.0,1.0,6.0,16.0,1.0,1.0,2014.0,39873,Poselenie Shherbinka,61208.0,16269.79,35.37,43.85,52.82,76.7,2522836
23926,32.0,21.0,5.0,1.0,3.0,9.0,2.0,5.0,1963.0,37502,Sviblovo,61208.0,16269.79,35.37,43.85,52.82,76.7,1000000
23930,35.0,14.0,9.0,1.0,2.0,17.0,2.0,1.0,2002.0,102618,Juzhnoe Butovo,61208.0,16269.79,35.37,43.85,52.82,76.7,5950000
23925,56.0,31.0,9.0,2.0,3.0,16.0,3.0,6.0,2002.0,72131,Novogireevo,61208.0,16269.79,35.37,43.85,52.82,76.7,11300000
23928,39.0,22.0,6.0,2.0,6.0,14.0,3.0,5.0,1972.0,91100,Donskoe,61208.0,16269.79,35.37,43.85,52.82,76.7,6500000
23910,95.0,73.0,9.0,4.0,14.0,22.0,3.0,1.0,1978.0,113897,Troparevo-Nikulino,61208.0,16269.79,35.37,43.85,52.82,76.7,19200000
23914,44.0,30.0,5.0,2.0,1.0,5.0,2.0,5.0,1961.0,153248,Kotlovka,61208.0,16269.79,35.37,43.85,52.82,76.7,3000000
23919,52.0,37.0,6.0,3.0,2.0,5.0,2.0,1.0,1968.0,143661,Troickij okrug,61208.0,16269.79,35.37,43.85,52.82,76.7,5200000
23911,57.0,37.0,9.0,2.0,8.0,8.0,3.0,2.0,1959.0,64317,Lomonosovskoe,61208.0,16269.79,35.37,43.85,52.82,76.7,14700000
23913,70.0,52.0,5.0,3.0,3.0,9.0,2.0,1.0,1970.0,85083,Sokolinaja Gora,61208.0,16269.79,35.37,43.85,52.82,76.7,12400000
23924,52.0,28.0,10.0,2.0,14.0,16.0,3.0,5.0,1991.0,60315,Severnoe Medvedkovo,61208.0,16269.79,35.37,43.85,52.82,76.7,9300000
21173,37.0,19.0,7.0,1.0,7.0,17.0,3.0,1.0,1986.0,123000,Kon'kovo,61208.0,16251.41,33.67,41.97,50.93,76.7,7850000
21169,34.0,21.0,5.0,1.0,1.0,4.0,2.0,2.0,1972.0,76308,Vostochnoe,61208.0,16251.41,33.67,41.97,50.93,76.7,4900000
21179,71.0,40.0,13.0,2.0,5.0,12.0,3.0,6.0,2011.0,13890,Poselenie Sosenskoe,61208.0,16251.41,33.67,41.97,50.93,76.7,4911450
21177,44.0,26.0,5.0,2.0,2.0,5.0,3.0,2.0,1959.0,112804,Filevskij Park,61208.0,16251.41,33.67,41.97,50.93,76.7,7000000
21188,54.0,35.0,8.0,2.0,3.0,9.0,2.0,2.0,1957.0,64317,Lomonosovskoe,61208.0,16251.41,33.67,41.97,50.93,76.7,13500000
21174,45.0,28.0,5.0,2.0,3.0,5.0,3.0,1.0,1965.0,125111,Solncevo,61208.0,16251.41,33.67,41.97,50.93,76.7,2000000
21187,94.0,56.0,11.0,4.0,3.0,14.0,2.0,1.0,1995.0,221709,Krjukovo,61208.0,16251.41,33.67,41.97,50.93,76.7,7500000
21183,80.0,54.0,8.0,3.0,2.0,5.0,3.0,2.0,1953.0,1100773,Ajeroport,61208.0,16251.41,33.67,41.97,50.93,76.7,14600000
21186,47.0,30.0,6.0,2.0,7.0,9.0,2.0,1.0,1972.0,72131,Novogireevo,61208.0,16251.41,33.67,41.97,50.93,76.7,7900000
21175,31.0,18.0,5.0,1.0,3.0,5.0,2.0,2.0,1959.0,73148,Vojkovskoe,61208.0,16251.41,33.67,41.97,50.93,76.7,6500000
21181,32.0,17.0,7.0,1.0,8.0,9.0,3.0,1.0,1969.0,123000,Kon'kovo,61208.0,16251.41,33.67,41.97,50.93,76.7,6450000
21165,79.0,44.0,12.0,3.0,2.0,17.0,2.0,1.0,2008.0,7341,Poselenie Moskovskij,61208.0,16251.41,33.67,41.97,50.93,76.7,8700000
21190,45.0,29.0,6.0,2.0,4.0,9.0,2.0,1.0,1971.0,112221,Chertanovo Juzhnoe,61208.0,16251.41,33.67,41.97,50.93,76.7,6900000
21184,45.0,28.0,5.0,2.0,3.0,5.0,2.0,1.0,1964.0,12327,Gol'janovo,61208.0,16251.41,33.67,41.97,50.93,76.7,6250000
21180,38.0,19.0,7.0,1.0,16.0,17.0,2.0,1.0,2000.0,111023,Ochakovo-Matveevskoe,61208.0,16251.41,33.67,41.97,50.93,76.7,7400000
21193,32.0,21.0,6.0,1.0,6.0,9.0,2.0,1.0,1967.0,1285626,Vnukovo,61208.0,16251.41,33.67,41.97,50.93,76.7,4700000
21182,53.0,31.0,10.0,2.0,10.0,16.0,2.0,1.0,1982.0,85083,Sokolinaja Gora,61208.0,16251.41,33.67,41.97,50.93,76.7,8130000
21176,44.0,28.0,5.0,1.0,5.0,5.0,2.0,1.0,1969.0,105663,Juzhnoe Tushino,61208.0,16251.41,33.67,41.97,50.93,76.7,7290000
21167,52.0,30.0,8.0,2.0,16.0,16.0,2.0,1.0,1982.0,100846,Dmitrovskoe,61208.0,16251.41,33.67,41.97,50.93,76.7,8300000
21171,39.0,23.0,6.0,2.0,12.0,12.0,3.0,1.0,1969.0,101982,Tekstil'shhiki,61208.0,16251.41,33.67,41.97,50.93,76.7,6120000
21191,41.0,22.0,6.0,2.0,1.0,14.0,2.0,5.0,1978.0,157010,Ivanovskoe,61208.0,16251.41,33.67,41.97,50.93,76.7,1000000
21189,58.0,30.0,11.0,2.0,6.0,12.0,3.0,2.0,2004.0,102828,Kosino-Uhtomskoe,61208.0,16251.41,33.67,41.97,50.93,76.7,7750000
21192,38.0,20.0,10.0,1.0,18.0,22.0,2.0,1.0,2008.0,142462,Mozhajskoe,61208.0,16251.41,33.67,41.97,50.93,76.7,1000000
21195,47.0,30.0,6.0,2.0,8.0,12.0,2.0,1.0,1973.0,145088,Birjulevo Zapadnoe,61208.0,16251.41,33.67,41.97,50.93,76.7,6000000
21168,57.0,31.0,5.0,2.0,5.0,5.0,2.0,2.0,1934.0,1359171,Alekseevskoe,61208.0,16251.41,33.67,41.97,50.93,76.7,12500000
21170,50.0,30.0,8.0,2.0,6.0,17.0,3.0,4.0,1985.0,61039,Ramenki,61208.0,16251.41,33.67,41.97,50.93,76.7,11400000
24816,51.0,40.0,5.0,3.0,6.0,9.0,4.0,1.0,1969.0,157010,Ivanovskoe,61208.0,16648.7,34.3,43.23,53.21,76.7,9500000
24833,117.0,66.0,12.0,3.0,8.0,23.0,1.0,4.0,2010.0,21155,Mitino,61208.0,16648.7,34.3,43.23,53.21,76.7,6400000
24826,30.0,17.0,5.0,1.0,2.0,5.0,3.0,1.0,1966.0,72131,Novogireevo,61208.0,16648.7,34.3,43.23,53.21,76.7,5450000
24808,44.0,27.0,5.0,2.0,9.0,9.0,3.0,1.0,1971.0,81980,Jaroslavskoe,61208.0,16648.7,34.3,43.23,53.21,76.7,7200000
24819,57.0,31.0,10.0,2.0,9.0,14.0,2.0,1.0,1993.0,21155,Mitino,61208.0,16648.7,34.3,43.23,53.21,76.7,9500000
24836,50.0,30.0,8.0,2.0,10.0,17.0,3.0,1.0,1985.0,85721,Brateevo,61208.0,16648.7,34.3,43.23,53.21,76.7,8200000
24829,76.0,45.0,10.0,3.0,8.0,17.0,2.0,1.0,1986.0,85721,Brateevo,61208.0,16648.7,34.3,43.23,53.21,76.7,10600000
24817,34.0,20.0,5.0,1.0,7.0,9.0,2.0,2.0,1970.0,12327,Gol'janovo,61208.0,16648.7,34.3,43.23,53.21,76.7,1000000
24821,39.0,19.0,8.0,1.0,12.0,12.0,3.0,1.0,1997.0,1318695,Vyhino-Zhulebino,61208.0,16648.7,34.3,43.23,53.21,76.7,6100000
24820,45.0,29.0,5.0,2.0,4.0,5.0,2.0,1.0,1980.0,7122,Poselenie Rjazanovskoe,61208.0,16648.7,34.3,43.23,53.21,76.7,4000000
24839,42.0,25.0,5.0,2.0,3.0,5.0,3.0,2.0,1962.0,89467,Fili Davydkovo,61208.0,16648.7,34.3,43.23,53.21,76.7,8500000
24824,37.0,22.0,6.0,2.0,1.0,12.0,2.0,1.0,1965.0,166803,Shhukino,61208.0,16648.7,34.3,43.23,53.21,76.7,7300000
24831,43.0,18.0,8.0,1.0,4.0,17.0,3.0,1.0,2013.0,7341,Poselenie Moskovskij,61208.0,16648.7,34.3,43.23,53.21,76.7,2200000
24828,76.0,45.0,10.0,3.0,8.0,17.0,3.0,1.0,2001.0,113897,Troparevo-Nikulino,61208.0,16648.7,34.3,43.23,53.21,76.7,17300000
24818,29.0,11.0,5.0,1.0,9.0,9.0,2.0,1.0,1978.0,178264,Jasenevo,61208.0,16648.7,34.3,43.23,53.21,76.7,5425000
24843,39.0,20.0,10.0,1.0,22.0,22.0,2.0,1.0,1997.0,68630,Lianozovo,61208.0,16648.7,34.3,43.23,53.21,76.7,6400000
24832,79.0,79.0,0.0,2.0,8.0,22.0,1.0,1.0,2015.0,17790,Poselenie Vnukovskoe,61208.0,16648.7,34.3,43.23,53.21,76.7,8266537
