iter	Passed	Remaining
165	885	7112
166	888	7093
167	894	7091
168	897	7072
169	900	7047
170	904	7026
171	913	7054
172	917	7038
173	923	7034
174	929	7033
175	931	7011
176	935	6989
177	938	6969
178	942	6958
179	946	6942
180	949	6921
181	953	6903
182	960	6913
183	964	6895
184	968	6881
185	971	6860
186	976	6856
187	979	6838
188	986	6843
189	991	6834
190	995	6820
191	998	6799
192	1001	6779
193	1007	6779
194	1011	6770
195	1014	6752
196	1018	6737
197	1021	6716
198	1027	6717
199	1030	6698
200	1035	6694
201	1040	6686
202	1044	6675
203	1047	6657
204	1051	6641
205	1057	6643
206	1065	6657
207	1082	6727
208	1086	6711
209	1091	6706
210	1124	6871
211	1133	6888
212	1138	6880
213	1142	6865
214	1145	6848
215	1149	6833
216	1156	6839
217	1163	6841
218	1166	6824
219	1170	6807
220	1174	6798
221	1178	6781
222	1182	6771
223	1189	6776
224	1193	6760
225	1196	6743
226	1199	6725
227	1204	6720
228	1208	6705
229	1211	6689
230	1214	6671
231	1222	6680
232	1225	6664
233	1228	6647
234	1232	6635
235	1236	6624
236	1241	6618
237	1246	6611
238	1252	6608
239	1277	6705
240	1281	6695
241	1286	6688
242	1290	6675
243	1293	6660
244	1297	6644
245	1302	6640
246	1308	6639
247	1312	6627
248	1318	6625
249	1323	6617
250	1326	6601
251	1330	6587
252	1338	6596
253	1341	6581
254	1345	6567
255	1351	6567
256	1354	6552
257	1359	6542
258	1370	6565
259	1374	6555
260	1378	6544
261	1383	6539
262	1388	6528
263	1391	6512
264	1402	6535
265	1405	6522
266	1409	6509
267	1415	6508
268	1421	6503
269	1424	6489
270	1428	6476
271	1433	6471
272	1437	6460
273	1440	6444
274	1444	6433
275	1452	6441
276	1457	6435
277	1460	6421
278	1468	6425
279	1471	6411
280	1475	6400
281	1481	6399
282	1485	6388
283	1489	6375
284	1492	6360
285	1498	6362
286	1502	6348
287	1505	6337
288	1508	6322
289	1516	6327
290	1519	6314
291	1525	6310
292	1531	6306
293	1534	6293
294	1538	6284
295	1542	6276
296	1548	6273
297	1553	6265
298	1562	6277
299	1566	6265
300	1569	6253
301	1573	6243
302	1581	6248
303	1584	6234
304	1588	6221
305	1591	6209
306	1596	6205
307	1601	6196
308	1604	6183
309	1607	6170
310	1613	6169
311	1617	6157
312	1621	6147
313	1628	6149
314	1634	6147
315	1637	6136
316	1645	6139
317	1649	6132
318	1655	6130
319	1661	6126
320	1664	6113
321	1669	6108
322	1672	6095
323	1677	6089
324	1701	6150
325	1708	6153
326	1713	6145
327	1717	6135
328	1721	6128
329	1727	6124
330	1731	6115
331	1738	6116
332	1744	6113
333	1748	6102
334	1751	6090
335	1758	6093
336	1762	6081
337	1765	6067
338	1768	6057
339	1774	6053
340	1777	6042
341	1780	6029
342	1784	6019
343	1790	6018
344	1794	6006
345	1797	5995
346	1800	5983
347	1805	5976
348	1811	5975
349	1818	5974
350	1823	5968
351	1826	5958
352	1830	5946
353	1833	5935
354	1838	5930
355	1842	5920
356	1846	5910
357	1849	5898
358	1855	5897
359	1858	5886
360	1863	5878
361	1866	5867
362	1873	5868
363	1876	5856
364	1880	5846
365	1883	5836
366	1889	5833
367	1893	5825
368	1896	5813
369	1900	5803
370	1910	5814
371	1915	5809
372	1924	5814
373	1928	5805
374	1936	5810
375	1940	5801
376	1945	5794
377	1954	5800
378	1957	5789
379	1960	5778
380	1963	5767
381	1969	5764
382	1973	5756
383	1976	5745
384	1979	5733
385	1991	5748
386	1995	5739
387	1999	5731
388	2003	5723
389	2006	5711
390	2010	5701
391	2013	5691
392	2022	5697
393	2026	5688
394	2031	5684
395	2036	5677
396	2039	5667
397	2043	5656
398	2047	5649
399	2051	5641
400	2055	5632
401	2058	5623
402	2062	5613
403	2068	5612
404	2073	5606
405	2077	5597
406	2082	5592
407	2087	5587
408	2110	5629
409	2116	5625
410	2119	5616
411	2122	5605
412	2126	5596
413	2132	5594
414	2136	5585
415	2139	5575
416	2142	5564
417	2148	5561
418	2152	5552
419	2154	5541
420	2159	5533
421	2164	5529
422	2168	5520
423	2172	5512
424	2175	5503
425	2181	5500
426	2185	5491
427	2188	5481
428	2191	5471
429	2198	5471
430	2203	5465
431	2207	5457
432	2216	5461
433	2221	5455
434	2224	5446
435	2230	5442
436	2235	5438
437	2239	5431
438	2245	5427
439	2248	5417
440	2251	5407
441	2255	5398
442	2259	5390
443	2265	5388
444	2268	5379
445	2271	5369
446	2282	5376
447	2286	5370
448	2291	5362
449	2296	5358
450	2300	5350
451	2304	5342
452	2310	5340
453	2314	5332
454	2317	5322
455	2320	5313
456	2327	5311
457	2336	5316
458	2347	5323
459	2351	5316
460	2355	5308
461	2360	5303
462	2364	5295
463	2367	5286
464	2375	5287
465	2381	5284
466	2384	5274
467	2388	5266
468	2394	5262
469	2397	5253
470	2401	5245
471	2407	5244
472	2411	5235
473	2415	5227
474	2420	5223
475	2425	5218
476	2429	5210
477	2432	5201
478	2436	5192
479	2443	5192
480	2450	5190
481	2456	5187
482	2461	5183
483	2465	5174
484	2469	5167
485	2475	5165
486	2480	5158
487	2483	5150
488	2491	5150
489	2494	5141
490	2497	5132
491	2501	5124
492	2509	5126
493	2514	5121
494	2519	5114
495	2525	5111
496	2529	5104
497	2532	5095
498	2537	5090
499	2540	5081
500	2544	5073
501	2548	5065
502	2554	5063
503	2558	5055
504	2565	5054
505	2573	5055
506	2576	5046
507	2579	5037
508	2582	5028
509	2588	5024
510	2591	5015
511	2595	5007
512	2598	4999
513	2607	5001
514	2610	4993
515	2613	4984
516	2622	4985
517	2626	4979
518	2634	4980
519	2642	4980
520	2647	4975
521	2654	4973
522	2657	4965
523	2661	4957
524	2671	4960
525	2674	4952
526	2677	4944
527	2681	4936
528	2690	4938
529	2694	4931
530	2698	4925
531	2702	4917
532	2705	4909
533	2709	4901
534	2712	4892
535	2717	4887
536	2720	4878
537	2724	4871
538	2727	4863
539	2735	4862
540	2738	4854
541	2743	4848
542	2748	4844
543	2752	4837
544	2755	4828
545	2760	4824
546	2767	4821
547	2770	4813
548	2774	4805
549	2777	4797
550	2785	4796
551	2788	4789
552	2794	4785
553	2803	4786
554	2806	4778
555	2809	4770
556	2814	4765
557	2818	4757
558	2821	4749
559	2826	4744
560	2842	4758
561	2849	4755
562	2852	4747
563	2855	4739
564	2859	4731
565	2864	4726
566	2867	4718
567	2870	4710
568	2873	4702
569	2881	4701
570	2885	4694
571	2888	4686
572	2892	4679
573	2897	4674
574	2901	4666
575	2904	4658
576	2913	4660
577	2918	4654
578	2921	4647
579	2929	4647
580	2932	4638
581	2937	4632
582	2944	4631
583	2949	4626
584	2952	4618
585	2960	4617
586	2966	4613
587	2969	4605
588	2975	4602
589	2979	4594
590	2984	4590
591	2988	4583
592	2994	4580
593	2997	4572
594	3000	4564
595	3004	4557
596	3014	4559
597	3017	4551
598	3020	4544
599	3027	4540
600	3030	4532
601	3034	4526
602	3039	4521
603	3044	4515
604	3047	4508
605	3054	4505
606	3057	4498
607	3063	4494
608	3072	4494
609	3084	4499
610	3088	4494
611	3092	4487
612	3095	4479
613	3099	4472
614	3102	4464
615	3106	4458
616	3111	4452
617	3114	4445
618	3117	4437
619	3125	4436
620	3129	4429
621	3132	4422
622	3139	4419
623	3143	4412
624	3146	4405
625	3149	4397
626	3156	4394
627	3159	4386
628	3162	4379
629	3165	4372
630	3175	4372
631	3178	4365
632	3181	4358
633	3186	4352
634	3190	4346
635	3193	4338
636	3197	4331
637	3206	4332
638	3211	4326
639	3215	4321
640	3221	4317
641	3224	4309
642	3229	4304
643	3240	4306
644	3242	4298
645	3245	4291
646	3253	4289
647	3258	4284
648	3262	4277
649	3268	4274
650	3271	4267
651	3275	4260
652	3279	4254
653	3287	4253
654	3291	4245
655	3294	4238
656	3303	4238
657	3308	4233
658	3324	4242
659	3328	4236
660	3333	4230
661	3339	4226
662	3341	4218
663	3344	4211
664	3351	4208
665	3356	4203
666	3359	4195
667	3362	4188
668	3370	4187
669	3373	4179
670	3377	4172
671	3385	4171
672	3389	4165
673	3392	4157
674	3400	4156
675	3405	4150
676	3411	4147
677	3418	4143
678	3421	4136
679	3424	4129
680	3427	4122
681	3435	4120
682	3438	4113
683	3444	4108
684	3451	4106
685	3454	4099
686	3457	4091
687	3461	4085
688	3469	4084
689	3473	4077
690	3476	4070
691	3482	4065
692	3486	4060
693	3492	4055
694	3497	4051
695	3501	4044
696	3504	4038
697	3511	4035
698	3518	4031
699	3521	4024
700	3524	4017
701	3529	4011
702	3533	4005
703	3536	3998
704	3541	3993
705	3548	3990
706	3552	3984
707	3555	3976
708	3557	3969
709	3565	3967
710	3568	3959
711	3571	3953
712	3578	3950
713	3583	3944
714	3586	3937
715	3590	3931
716	3595	3926
717	3598	3919
718	3602	3912
719	3605	3905
720	3612	3902
721	3616	3896
722	3620	3890
723	3627	3888
724	3631	3881
725	3634	3875
726	3637	3867
727	3644	3864
728	3648	3858
729	3652	3852
730	3655	3845
731	3662	3842
732	3668	3838
733	3671	3831
734	3680	3830
735	3683	3823
736	3686	3816
737	3695	3815
738	3699	3809
739	3702	3802
740	3708	3798
741	3715	3795
742	3718	3788
743	3722	3782
744	3726	3776
745	3731	3771
746	3734	3764
747	3742	3762
748	3748	3758
749	3751	3751
750	3758	3748
751	3761	3741
752	3765	3735
753	3768	3728
754	3775	3725
755	3778	3718
756	3781	3711
757	3790	3710
758	3793	3703
759	3798	3698
760	3802	3692
761	3806	3686
762	3810	3680
763	3817	3677
764	3821	3671
765	3825	3666
766	3831	3661
767	3836	3656
768	3840	3650
769	3843	3643
770	3846	3637
771	3849	3630
772	3890	3658
773	3893	3652
774	3897	3645
775	3900	3638
776	3905	3633
777	3909	3628
778	3913	3621
779	3918	3616
780	3922	3610
781	3925	3603
782	3928	3597
783	3932	3591
784	3938	3587
785	3942	3581
786	3945	3574
787	3950	3569
788	3954	3563
789	3958	3557
790	3961	3550
791	3964	3544
792	3976	3545
793	3989	3547
794	3996	3543
795	4002	3540
796	4006	3533
797	4009	3527
798	4013	3521
799	4018	3516
800	4025	3513
801	4034	3511
802	4038	3505
803	4045	3502
804	4052	3498
805	4056	3492
806	4093	3515
807	4101	3512
808	4104	3505
809	4109	3500
810	4113	3494
811	4118	3489
812	4122	3483
813	4125	3476
814	4146	3485
815	4154	3482
816	4163	3480
817	4198	3500
818	4202	3494
819	4206	3488
820	4213	3484
821	4216	3478
822	4219	3471
823	4223	3464
824	4228	3459
825	4231	3453
826	4235	3446
827	4238	3439
828	4242	3434
829	4249	3430
830	4255	3426
831	4262	3422
832	4267	3417
833	4270	3410
834	4275	3405
835	4280	3399
836	4284	3393
837	4287	3387
838	4301	3388
839	4304	3382
840	4309	3376
841	4313	3370
842	4316	3364
843	4319	3357
844	4324	3351
845	4329	3346
846	4333	3340
847	4337	3334
848	4343	3330
849	4347	3324
850	4351	3318
851	4360	3316
852	4364	3310
853	4367	3303
854	4372	3298
855	4380	3295
856	4383	3288
857	4386	3282
858	4394	3279
859	4396	3272
860	4401	3266
861	4408	3263
862	4411	3256
863	4415	3250
864	4425	3248
865	4428	3242
866	4432	3236
867	4435	3229
868	4440	3224
869	4443	3217
870	4446	3210
871	4449	3204
872	4454	3199
873	4458	3193
874	4462	3187
875	4466	3181
876	4474	3178
877	4479	3173
878	4482	3167
879	4493	3165
880	4496	3159
881	4500	3153
882	4508	3150
883	4511	3143
884	4515	3137
885	4525	3136
886	4529	3130
887	4532	3123
888	4539	3120
889	4544	3114
890	4549	3109
891	4560	3108
892	4564	3102
893	4570	3098
894	4577	3094
895	4580	3087
896	4586	3083
897	4590	3077
898	4593	3070
899	4596	3064
900	4602	3059
901	4606	3054
902	4610	3047
903	4613	3041
904	4620	3038
905	4624	3032
906	4628	3025
907	4632	3020
908	4637	3015
909	4641	3009
910	4645	3003
911	4650	2998
912	4653	2992
913	4656	2985
914	4660	2979
915	4668	2976
916	4672	2970
917	4676	2964
918	4679	2958
919	4687	2955
920	4690	2949
921	4694	2942
922	4700	2938
923	4705	2933
924	4711	2928
925	4716	2923
926	4720	2917
927	4723	2911
928	4726	2905
929	4731	2899
930	4738	2895
931	4743	2890
932	4748	2885
933	4752	2879
934	4755	2873
935	4759	2867
936	4763	2862
937	4768	2856
938	4772	2851
939	4775	2844
940	4781	2840
941	4785	2834
942	4787	2828
943	4791	2822
944	4800	2819
945	4803	2813
946	4806	2806
947	4815	2803
948	4818	2797
949	4821	2791
950	4825	2785
951	4834	2782
952	4838	2776
953	4844	2772
954	4849	2767
955	4852	2761
956	4856	2755
957	4871	2755
958	4879	2752
959	4883	2746
960	4885	2740
961	4889	2734
962	4894	2729
963	4898	2723
964	4901	2717
965	4904	2711
966	4915	2709
967	4919	2703
968	4922	2697
969	4929	2693
970	4932	2687
971	4936	2681
972	4946	2679
973	4952	2674
974	4955	2668
975	4960	2663
976	4963	2657
977	4967	2651
978	4971	2645
979	4977	2641
980	4980	2634
981	4983	2628
982	4987	2623
983	4995	2619
984	4998	2613
985	5001	2607
986	5011	2604
987	5016	2599
988	5048	2608
989	5052	2602
990	5059	2598
991	5063	2593
992	5067	2587
993	5070	2581
994	5078	2577
995	5080	2571
996	5084	2565
997	5093	2561
998	5097	2556
999	5101	2550
1000	5108	2546
1001	5111	2540
1002	5115	2534
1003	5118	2528
1004	5123	2523
1005	5127	2518
1006	5130	2511
1007	5133	2505
1008	5140	2501
1009	5143	2495
1010	5147	2489
1011	5151	2483
1012	5164	2482
1013	5167	2476
1014	5172	2471
1015	5175	2465
1016	5178	2459
1017	5183	2454
1018	5190	2450
1019	5193	2444
1020	5196	2438
1021	5200	2432
1022	5204	2426
1023	5208	2421
1024	5212	2415
1025	5215	2409
1026	5230	2409
1027	5234	2403
1028	5242	2399
1029	5245	2393
1030	5249	2388
1031	5254	2382
1032	5259	2377
1033	5264	2372
1034	5275	2369
1035	5279	2364
1036	5285	2360
1037	5289	2354
1038	5292	2348
1039	5296	2342
1040	5308	2340
1041	5312	2335
1042	5316	2329
1043	5321	2324
1044	5324	2318
1045	5327	2312
1046	5331	2306
1047	5338	2302
1048	5341	2296
1049	5346	2291
1050	5353	2287
1051	5357	2281
1052	5361	2275
1053	5369	2271
1054	5372	2266
1055	5376	2260
1056	5380	2254
1057	5385	2249
1058	5388	2244
1059	5392	2238
1060	5400	2234
1061	5404	2228
1062	5407	2223
1063	5410	2217
1064	5419	2213
1065	5422	2207
1066	5425	2201
1067	5433	2197
1068	5437	2192
1069	5440	2186
1070	5450	2183
1071	5454	2177
1072	5457	2171
1073	5467	2168
1074	5470	2162
1075	5474	2157
1076	5477	2151
1077	5482	2146
1078	5486	2140
1079	5489	2134
1080	5493	2129
1081	5499	2124
1082	5503	2119
1083	5506	2113
1084	5514	2109
1085	5518	2103
1086	5524	2099
1087	5529	2093
1088	5533	2088
1089	5536	2082
1090	5551	2081
1091	5555	2075
1092	5563	2071
1093	5566	2065
1094	5569	2059
1095	5572	2054
1096	5580	2049
1097	5583	2044
1098	5586	2038
1099	5590	2032
1100	5597	2028
1101	5600	2022
1102	5604	2017
1103	5610	2012
1104	5614	2006
1105	5618	2001
1106	5621	1995
1107	5630	1991
1108	5633	1986
1109	5636	1980
1110	5643	1976
1111	5649	1971
1112	5652	1965
1113	5659	1961
1114	5663	1955
1115	5666	1949
1116	5670	1944
1117	5678	1940
1118	5681	1934
1119	5686	1929
1120	5694	1925
1121	5697	1919
1122	5700	1913
1123	5704	1908
1124	5713	1904
1125	5723	1901
1126	5729	1896
1127	5734	1891
1128	5741	1886
1129	5747	1881
1130	5758	1878
1131	5761	1873
1132	5766	1867
1133	5770	1862
1134	5774	1857
1135	5778	1851
1136	5781	1845
1137	5786	1840
1138	5795	1836
1139	5798	1831
1140	5803	1825
1141	5807	1820
1142	5810	1814
1143	5813	1809
1144	5816	1803
1145	5820	1798
1146	5825	1792
1147	5829	1787
1148	5833	1782
1149	5840	1777
1150	5844	1772
1151	5848	1766
1152	5853	1761
1153	5857	1756
1154	5860	1750
1155	5864	1745
1156	5876	1741
1157	5879	1736
1158	5887	1732
1159	5891	1726
1160	5896	1721
1161	5900	1716
1162	5906	1711
1163	5909	1705
1164	5913	1700
1165	5919	1695
1166	5923	1690
1167	5927	1684
1168	5930	1679
1169	5934	1673
1170	5938	1668
1171	5942	1663
1172	5945	1657
1173	5951	1652
1174	5955	1647
1175	5958	1641
1176	5962	1636
1177	5967	1631
1178	6006	1635
1179	6014	1630
1180	6021	1626
1181	6032	1622
1182	6042	1619
1183	6045	1613
1184	6053	1609
1185	6056	1603
1186	6060	1598
1187	6065	1592
1188	6069	1587
1189	6072	1582
1190	6075	1576
1191	6081	1571
1192	6084	1565
1193	6088	1560
1194	6091	1554
1195	6099	1550
1196	6102	1544
1197	6105	1539
1198	6109	1533
1199	6119	1529
1200	6122	1524
1201	6126	1518
1202	6133	1514
1203	6137	1508
1204	6144	1504
1205	6150	1499
1206	6153	1493
1207	6156	1488
1208	6163	1483
1209	6168	1478
1210	6171	1472
1211	6173	1466
1212	6181	1462
1213	6185	1457
1214	6188	1451
1215	6191	1446
1216	6197	1441
1217	6200	1435
1218	6204	1430
1219	6207	1424
1220	6214	1419
1221	6217	1414
1222	6221	1409
1223	6226	1403
1224	6230	1398
1225	6235	1393
1226	6238	1387
1227	6250	1384
1228	6254	1379
1229	6260	1374
1230	6264	1368
1231	6269	1363
1232	6274	1358
1233	6279	1353
1234	6287	1349
1235	6291	1343
1236	6299	1339
1237	6304	1334
1238	6309	1329
1239	6313	1323
1240	6317	1318
1241	6320	1312
1242	6329	1308
1243	6335	1303
1244	6339	1298
1245	6343	1293
1246	6347	1287
1247	6351	1282
1248	6356	1277
1249	6360	1272
1250	6363	1266
1251	6367	1261
1252	6374	1256
1253	6377	1251
1254	6381	1245
1255	6384	1240
1256	6389	1235
1257	6393	1229
1258	6396	1224
1259	6399	1219
1260	6408	1214
1261	6411	1209
1262	6414	1203
1263	6421	1198
1264	6428	1194
1265	6432	1188
1266	6439	1184
1267	6443	1178
1268	6446	1173
1269	6450	1168
1270	6460	1163
1271	6463	1158
1272	6466	1153
1273	6471	1147
1274	6476	1142
1275	6479	1137
1276	6482	1132
1277	6492	1127
1278	6496	1122
1279	6499	1117
1280	6508	1112
1281	6511	1107
1282	6514	1101
1283	6521	1097
1284	6532	1092
1285	6539	1088
1286	6542	1082
1287	6546	1077
1288	6552	1072
1289	6556	1067
1290	6559	1061
1291	6562	1056
1292	6572	1052
1293	6580	1047
1294	6588	1042
1295	6590	1037
1296	6595	1032
1297	6602	1027
1298	6606	1022
1299	6610	1016
1300	6613	1011
1301	6620	1006
1302	6625	1001
1303	6628	996
1304	6635	991
1305	6638	986
1306	6641	980
1307	6645	975
1308	6657	971
1309	6660	966
1310	6667	961
1311	6670	955
1312	6674	950
1313	6677	945
1314	6684	940
1315	6687	935
1316	6690	929
1317	6694	924
1318	6701	919
1319	6705	914
1320	6708	908
1321	6711	903
1322	6719	898
1323	6723	893
1324	6727	888
1325	6735	883
1326	6738	878
1327	6741	873
1328	6748	868
1329	6752	863
1330	6755	857
1331	6758	852
1332	6766	847
1333	6770	842
1334	6774	837
1335	6779	832
1336	6782	826
1337	6785	821
1338	6789	816
1339	6792	811
1340	6796	805
1341	6800	800
1342	6803	795
1343	6806	790
1344	6815	785
1345	6819	780
1346	6822	774
1347	6825	769
1348	6831	764
1349	6834	759
1350	6839	754
1351	6859	750
1352	6864	745
1353	6868	740
1354	6871	735
1355	6879	730
1356	6883	725
1357	6886	720
1358	6892	715
1359	6897	710
1360	6900	704
1361	6905	699
1362	6913	694
1363	6919	689
1364	6924	684
1365	6927	679
1366	6931	674
1367	6934	669
1368	6943	664
1369	6947	659
1370	6950	654
1371	6954	648
1372	7012	648
1373	7018	643
1374	7025	638
1375	7046	634
1376	7068	631
1377	7076	626
1378	7081	621
1379	7085	616
1380	7096	611
1381	7099	606
1382	7102	600
1383	7111	596
1384	7114	590
1385	7117	585
1386	7122	580
1387	7126	575
1388	7129	569
1389	7133	564
1390	7138	559
1391	7143	554
1392	7146	548
1393	7149	543
1394	7152	538
1395	7157	533
1396	7161	528
1397	7166	522
1398	7172	517
1399	7175	512
1400	7179	507
1401	7182	502
1402	7188	496
1403	7191	491
1404	7194	486
1405	7197	481
1406	7205	476
1407	7209	471
1408	7212	465
1409	7222	460
1410	7226	455
1411	7229	450
1412	7232	445
1413	7239	440
1414	7242	435
1415	7245	429
1416	7248	424
1417	7256	419
1418	7262	414
1419	7265	409
1420	7270	404
1421	7274	398
1422	7277	393
1423	7281	388
1424	7289	383
1425	7292	378
1426	7302	373
1427	7311	368
1428	7318	363
1429	7321	358
1430	7324	353
1431	7328	348
1432	7334	342
1433	7338	337
1434	7341	332
1435	7345	327
1436	7355	322
1437	7359	317
1438	7363	312
1439	7371	307
1440	7374	301
1441	7378	296
1442	7384	291
1443	7388	286
1444	7392	281
1445	7395	276
1446	7416	271
1447	7419	266
1448	7423	261
1449	7427	256
1450	7433	251
1451	7436	245
1452	7440	240
1453	7445	235
1454	7453	230
1455	7458	225
1456	7468	220
1457	7471	215
1458	7474	210
1459	7477	204
1460	7485	199
1461	7487	194
1462	7491	189
1463	7497	184
1464	7500	179
1465	7504	174
1466	7506	168
1467	7510	163
1468	7517	158
1469	7523	153
1470	7526	148
1471	7531	143
1472	7535	138
1473	7538	132
1474	7542	127
1475	7551	122
1476	7555	117
1477	7559	112
1478	7566	107
1479	7570	102
1480	7574	97
1481	7581	92
1482	7584	86
1483	7589	81
1484	7596	76
1485	7601	71
1486	7604	66
1487	7611	61
1488	7614	56
1489	7618	51
1490	7621	46
1491	7629	40
1492	7632	35
1493	7635	30
1494	7638	25
1495	7645	20
1496	7649	15
1497	7652	10
1498	7660	5
1499	7663	0
